,Título,Autor,Co Autor,Co-Autor..,Nota,Total de Avaliações,Nº de Páginas,Data,Editora,Tipo
109,Domínio de Python e Django: Construindo Aplicações Web,Anderson Rogério,,," 1,0 ",1 classificação,131 páginas,20 outubro 2023,vazio,  eBook Kindle 
110,Algoritmos Em Python: Explica Algoritmos Python com Belas Imagens Aprenda Fácil e Melhor,yang hu,,," 4,3 ",7 avaliações de clientes,275 páginas,1 janeiro 2021,vazio,  eBook Kindle 
111,Automatização com Python: Automatização com Python,Raphael  R.,,," 4,0 ",4 avaliações de clientes,77 páginas,25 janeiro 2024,vazio,  eBook Kindle 
112,Bancos de Dados Relacionais com Python e SQL,Fernando Feltrin,,,,,226 páginas,11 março 2024,vazio,  eBook Kindle 
113,Algoritmos: Lógica Para Desenvolvimento de Programação de Computadores - Edição Revisada e Atualizada,José Augusto N. G. Manzano,Jayr Figueiredo de Oliveira,," 4,8 ",565 avaliações de clientes,368 páginas,27 fevereiro 2019,Editora Érica,  Capa comum – 27 fevereiro 2019 
114,Programação Python com ChatGPT: ChatGPT solicita que você passe do iniciante ao avançado na programação python,Gerald Stokes,,," 3,0 ",1 classificação,120 páginas,11 abril 2024,vazio,  eBook Kindle 
115,Introdução à Programação para Bioinformática com Biopython,Diego César Batista Mariano,,," 4,6 ",228 avaliações de clientes,227 páginas,17 setembro 2015,vazio,  eBook Kindle 
116,"TDD com Python: Siga o Bode dos Testes: Usando Django, Selenium e JavaScript",Harry J. W. Percival,,," 4,8 ",128 avaliações de clientes,648 páginas,12 dezembro 2017,Novatec Editora,  Capa comum – 12 dezembro 2017 
117,Fundamentos de Programação Python,Leonardo Guerra de Rezende Guedes,Mário Elias Cândido Neto,,,,75 páginas,11 maio 2023,Clube de Autores,  Capa comum – 11 maio 2023 
118,50 SCRIPTS PRONTOS FEITO EM PYTHON EDITION 3: PORTUGUÊS VERSION (Série Python Masterclass: Códigos Prontos e Passo a Passo Livro 4),DIETRICH MONTCHO,,," 5,0 ",1 classificação,102 páginas,20 janeiro 2024,vazio,  eBook Kindle 
119,Python sem Mistérios,Joel Saade,,," 4,6 ",21 avaliações de clientes,432 páginas,2 dezembro 2019,Novatec Editora,  Capa comum – 2 dezembro 2019 
120,Programação Python: Primeiros passos para a automatização,Roopsi Rathi,Kaushal Kumar,,,,84 páginas,15 abril 2024,vazio,  Capa comum – 15 abril 2024 
121,100 Conhecimentos Essenciais para Iniciantes em Python,Tenkou Ronya,,,,,212 páginas,12 abril 2024,vazio,  eBook Kindle 
122,Python no centro: Aprendizagem automática e muito mais,Rupesh Kumar Tipu,Vandna Batra,,,,52 páginas,29 abril 2024,vazio,  Capa comum – 29 abril 2024 
123,Fundamentos de programação Python: Aprender fazendo,Kalpana P,Arockia Sahaya Sheela G,,,,100 páginas,22 abril 2024,vazio,  Capa comum – 22 abril 2024 
124,NEGÓCIOS DIGITAIS: O PRÓXIMO NÍVEL DA INTELIGÊNCIA,G. LAB,Edward Pimenta,," 4,4 ",1.740 avaliações de clientes,74 páginas,11 maio 2019,vazio,  eBook Kindle 
125,Python Primer: um guia para principiantes sobre os fundamentos da programação,Preeti Rathi,,,,,52 páginas,10 maio 2024,Edicoes Nosso Conhecimento,  Capa comum – 10 maio 2024 
126,Introdução à Visão Computacional: Uma abordagem prática com Python e OpenCV,Felipe Barelli,,," 4,8 ",24 avaliações de clientes,276 páginas,27 abril 2018,Casa do Código,  eBook Kindle 
127,"Aplicações Web com Python, Flet e Dash: Versão Estendida",Fernando Feltrin,,," 3,4 ",5 avaliações de clientes,501 páginas,14 fevereiro 2023,vazio,  eBook Kindle 
