,0
407,Aprendendo Lógica de Programação do Zero: Um Guia Essencial para Iniciantes (Programação Descomplicada: Domine as Linguagens do Futuro de um jeito rápido e fácil)
408,Introdução a Lógica de Programação
409,Coletânea Tópicos Especiais em Python (4 livros)
410,Machine Learning: Introdução à classificação
411,Seja um Programador Foda!: Manual para uma carreira de sucesso
412,Desenvolvimento de sistemas para iniciantes
413,Guia de Referência Rápida da linguagem de programação Python
414,"Automação de Testes na Prática com Python, Selenium e Behave."
415,Ganhando Dinheiro com Opções: Conheça as Estratégias Vencedoras Para ter Sucesso em Operações com Derivativos na Bolsa de Valores
416,Roteiro de Aprendizagem: Lógica de Programação e Algoritmos: Python como primeira linguagem
417,Guia para se Tornar um Analista de Dados: A análise de dados é uma das profissões mais procuradas e gratificantes da era digital. Venha fazer parte desse seleto grupo de pessoas.
418,Manual de Análise Técnica: Essência e estratégias avançadas: Tudo o que um investidor precisa saber para prosperar na bolsa de valores até em tempos de crise
419,Inteligência Artificial
420,As Habilidades Necessárias para ser um Cientista de Dados: compreenda os fundamentos da ciência de dados.
421,"MySQL Essencial: Do básico ao avançado - um curso prático (Aprendendo Programação e Desenvolvimento Web com Javascript, C# e Bancos de Dados)"
422,MINERAÇÃO DE DADOS EDUCACIONAIS : Primeiros Passos com Python
423,Os Doze Macacos
424,"TI Para Concursos: Arquitetura e Engenharia de Sistemas, Banco de Dados, Data Mining, Frameworks, Governança, Programação, Metodologias Ágeis, Métricas, Padrões, Redes e Segurança, Referenciais ISO"
425,Freqtrade:: bot de negociação de bitcoin gratuito e de código aberto escrito em Python
426,Criando Projetos com Arduino Para a Internet das Coisas: Experimentos com Aplicações do Mundo Real – Um Guia Para o Entusiasta de Arduino ávido por Aprender
427,Primeiro Contato com Lógica de Programação e Algoritmos: Notas de Aula (Escola de Programação)
428,Aprendendo Julia - Introdução à linguagem de programação Julia
429,Computação em Nuvem
430,Crie microsaas com python: Transforme suas habilidades de programação em sucesso profissional: Aprenda a criar software incrível com Python
431,Python: Perguntas e respostas de múltipla escolha
432,MicroPython - Aprenda a programar microcontroladores
